City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Carnarvon,AU,-24.8667,113.6333,80.67,57,49,10.36,scattered clouds
80,Luderitz,NA,-26.6481,15.1594,77.52,63,63,7.02,broken clouds
81,Kruisfontein,ZA,-34.0033,24.7314,74.88,93,3,4.12,clear sky
82,Bongandanga,CD,1.5,21.05,76.71,39,8,1.99,clear sky
83,Ancud,CL,-41.8697,-73.8203,62.42,73,98,15.41,overcast clouds
84,Pahrump,US,36.2083,-115.9839,55.94,33,0,13.0,clear sky
85,Kachiry,KZ,53.0675,76.1036,-1.1,97,100,4.43,overcast clouds
86,Mindelo,CV,16.8901,-24.9804,70.84,77,99,15.93,overcast clouds
87,Bengkulu,ID,-3.8004,102.2655,75.18,89,100,5.19,moderate rain
88,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,86.72,72,72,1.63,moderate rain
89,Diamantino,BR,-14.4086,-56.4461,81.57,71,100,1.95,overcast clouds
90,Hasaki,JP,35.7333,140.8333,21.6,45,0,7.96,clear sky
91,Shubarshi,KZ,48.5872,57.1869,-0.11,94,35,3.06,scattered clouds
92,Beringovskiy,RU,63.05,179.3167,-13.83,77,1,16.96,clear sky
93,Batticaloa,LK,7.7102,81.6924,73.15,70,97,3.94,overcast clouds
94,Thunder Bay,CA,48.4001,-89.3168,19.29,69,100,7.0,overcast clouds
95,Port Elizabeth,ZA,-33.918,25.5701,77.09,85,31,6.29,scattered clouds
96,Narasapur,IN,16.45,81.6667,71.53,90,0,5.14,clear sky
97,Certegui,CO,5.3707,-76.6044,81.86,84,100,4.45,overcast clouds
98,Obo,CF,5.3998,26.4869,75.4,27,100,4.85,overcast clouds
99,Faya,SA,18.3851,42.4509,52.32,74,87,2.3,overcast clouds
100,Kalevala,RU,65.2,31.1667,19.83,87,29,10.04,scattered clouds
101,Shingu,JP,33.7333,135.9833,30.58,77,64,5.93,broken clouds
102,Filingue,NE,14.3521,3.3168,69.89,9,0,10.11,clear sky
103,Nanchong,CN,30.7951,106.0847,48.02,91,99,1.74,overcast clouds
104,Oksovskiy,RU,62.6062,39.8984,14.92,98,100,2.89,overcast clouds
105,Narsaq,GL,60.9167,-46.05,14.22,70,100,9.73,overcast clouds
106,Hongjiang,CN,27.11,109.9956,48.85,97,100,3.36,light rain
107,Castro,BR,-24.7911,-50.0119,78.67,62,61,6.31,broken clouds
108,Aksu,CN,41.1231,80.2644,23.9,63,0,1.39,clear sky
109,Husavik,IS,66.0449,-17.3389,37.42,64,8,28.25,clear sky
110,Moose Factory,CA,51.2585,-80.6094,15.58,84,100,14.99,overcast clouds
111,Port Alfred,ZA,-33.5906,26.891,75.58,88,29,15.28,scattered clouds
112,Torbay,CA,47.6666,-52.7314,27.75,91,100,1.01,overcast clouds
113,Zhuhai,CN,22.2769,113.5678,66.69,88,40,6.91,scattered clouds
114,Springfield,US,37.2153,-93.2982,26.15,39,0,1.01,clear sky
115,Caibarien,CU,22.5206,-79.4669,87.12,69,0,10.0,clear sky
116,Saint-Philippe,RE,-21.3585,55.7679,81.95,86,64,17.13,light rain
117,Clyde River,CA,70.4692,-68.5914,-17.64,81,100,2.98,overcast clouds
118,Fare,PF,-16.7,-151.0167,81.23,72,100,14.2,light rain
119,Dikson,RU,73.5069,80.5464,14.45,95,100,10.45,light snow
120,Angoche,MZ,-16.2325,39.9086,76.23,90,100,8.7,light rain
121,Maceio,BR,-9.6658,-35.7353,89.04,58,20,12.66,few clouds
122,Yershov,RU,51.3513,48.2766,16.3,91,100,15.46,light snow
