City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-01-21 16:54:22,-33.65,115.3333,77.09,44,1,8.52
1,Barrow,US,2022-01-21 16:51:07,71.2906,-156.7887,-25.58,68,100,9.22
2,Hilo,US,2022-01-21 16:53:13,19.7297,-155.09,69.24,92,60,5.01
3,Rikitea,PF,2022-01-21 16:54:22,-23.1203,-134.9692,77.86,75,100,8.21
4,Raipur,IN,2022-01-21 16:50:49,21.2333,81.6333,68.14,68,1,2.3
5,Gigmoto,PH,2022-01-21 16:54:23,13.7796,124.39,76.5,88,54,13.67
6,Qaanaaq,GL,2022-01-21 16:54:23,77.484,-69.3632,-2.51,96,100,8.14
7,Orel,RU,2022-01-21 16:54:23,52.9658,36.0803,24.64,94,99,15.97
8,Cherskiy,RU,2022-01-21 16:54:24,68.75,161.3,-47.9,100,57,4.12
9,Albany,US,2022-01-21 16:52:03,42.6001,-73.9662,14.61,59,48,1.01
10,Saint-Denis,FR,2022-01-21 16:54:24,48.9167,2.3333,41.68,80,20,1.01
11,Ayorou,NE,2022-01-21 16:54:24,14.7308,0.9174,80.47,10,4,11.9
12,Mugur-Aksy,RU,2022-01-21 16:54:25,50.35,90.5,-8.05,96,86,5.86
13,Puerto Ayora,EC,2022-01-21 16:53:49,-0.7393,-90.3518,80.56,80,53,8.43
14,Castro,BR,2022-01-21 16:54:25,-24.7911,-50.0119,81.27,57,10,5.7
15,Atuona,PF,2022-01-21 16:54:25,-9.8,-139.0333,78.58,73,41,23.42
16,Vaini,TO,2022-01-21 16:54:26,-21.2,-175.2,81.03,72,38,13.04
17,Khilok,RU,2022-01-21 16:54:26,51.3674,110.4676,-5.28,100,47,1.74
18,New Norfolk,AU,2022-01-21 16:54:27,-42.7826,147.0587,56.71,73,0,2.3
19,Caravelas,BR,2022-01-21 16:54:27,-17.7125,-39.2481,84.81,62,32,10.45
20,Ribeira Grande,PT,2022-01-21 16:54:27,38.5167,-28.7,66.6,59,20,18.41
21,Jamestown,US,2022-01-21 16:50:08,42.097,-79.2353,15.33,41,20,4.61
22,Yulara,AU,2022-01-21 16:54:28,-25.2406,130.9889,78.64,73,75,10.36
23,Butaritari,KI,2022-01-21 16:54:28,3.0707,172.7902,80.98,76,72,14.74
24,Thompson,CA,2022-01-21 16:54:28,55.7435,-97.8558,1.56,78,75,16.11
25,Prince Rupert,CA,2022-01-21 16:54:28,54.3161,-130.3201,44.29,81,75,14.97
