City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,Luanda,AO,77.0,few clouds,-8.8368,13.2343,Hotel Fórum
528,Necochea,AR,78.33,light rain,-38.5473,-58.7368,dyd -mar Hotel
530,Fayaoue,NC,80.62,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
531,Eyl,SO,75.88,scattered clouds,7.9803,49.8164,Amiin Hotel
532,Cabedelo,BR,84.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
533,Inhambane,MZ,77.18,overcast clouds,-23.865,35.3833,Oceano
538,Manta,EC,82.18,few clouds,-0.95,-80.7333,Balandra Hotel
540,Itarema,BR,85.14,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
545,Kieta,PG,78.06,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
554,Sechura,PE,83.3,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
555,Yumbing,PH,78.78,overcast clouds,9.2393,124.6578,Medano Island Resort
564,Lorengau,PG,81.39,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
568,Puerto Baquerizo Moreno,EC,81.59,broken clouds,-0.9,-89.6,Hotel los Algarrobos
570,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
573,Buin,CL,87.06,clear sky,-33.7333,-70.75,Paihuen
574,Black River,JM,84.2,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
578,Pitimbu,BR,84.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
582,Paka,MY,75.13,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
585,Biak,ID,75.54,overcast clouds,-0.9131,122.8766,Penginapan Kim
586,Namatanai,PG,79.36,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
587,Tecoanapa,MX,82.29,broken clouds,16.5167,-98.75,Hotel Manglares
592,Padang,ID,76.44,heavy intensity rain,-0.9492,100.3543,Mercure Padang
600,El Cope,PA,80.85,scattered clouds,8.6167,-80.6,Hostal Buena Esperanza
612,Catuday,PH,76.62,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
615,Sorong,ID,80.22,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
617,Camoapa,NI,80.82,broken clouds,12.3839,-85.5116,Hotel Las Pérgolas
622,Macas,EC,76.75,broken clouds,-2.3167,-78.1167,Casa Upano
627,Port-Gentil,GA,80.42,overcast clouds,-0.7193,8.7815,Fengshui Residence
628,Mariental,NA,80.56,overcast clouds,-24.6333,17.9667,Mariental Hotel
637,Dakar,SN,81.48,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
645,Sambava,MG,75.58,moderate rain,-14.2667,50.1667,Melrose
647,Trelew,AR,81.48,clear sky,-43.249,-65.3051,Hotel Touring Club
648,Buchanan,LR,82.36,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
653,Pangai,TO,81.46,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
654,Acarau,BR,85.17,broken clouds,-2.8856,-40.12,castelo pizzaria
655,Les Cayes,HT,82.83,few clouds,18.2,-73.75,Villa Orphee
656,Cocorit,MX,75.54,clear sky,27.5833,-109.9667,Kaba Motel
665,Feijo,BR,81.81,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
667,Saraza,PH,77.72,overcast clouds,8.7356,117.78,Farmqo Beach (Matangkay)
670,Huarmey,PE,77.14,few clouds,-10.0681,-78.1522,Hotel Miramar
